job_role,country,is_remote,schedule_type,posted_date,salary_year_avg,no_degree_required,health_insurance,sql,python,excel,tableau,r,power bi,job_skills_clean
Data Analyst,United States,False,Full-time,2023-05-11,106250.0,False,True,1,1,0,0,0,0,"['vba', 'sql', 'c#', 'python', 'sql server', 'oracle', 'ssis', 'flow']"
Data Analyst,Germany,False,Full-time,2023-12-20,75067.5,True,False,1,1,0,0,1,0,"['r', 'python', 'java', 'c#', 'sql']"
Business Analyst,United States,False,Full-time,2023-01-06,105000.0,False,False,1,1,1,1,1,0,"['sql', 'r', 'python', 'scala', 'redshift', 'aws', 'microstrategy', 'tableau', 'ssis', 'alteryx', 'excel', 'powerpoint', 'flow']"
Business Analyst,United States,True,Full-time,2023-09-25,96000.0,False,True,1,1,0,1,1,0,"['sql', 'python', 'r', 'tableau']"
Data Analyst,United States,False,Full-time,2023-02-26,115000.0,True,True,1,0,0,1,0,0,"['sql', 'tableau', 'looker']"
Data Analyst,United States,False,Full-time,2023-06-01,53222.0,False,True,0,0,1,0,0,0,['excel']
Data Analyst,United States,False,Full-time,2023-07-18,120000.0,True,True,1,0,0,0,0,0,"['shell', 'sql', 'azure', 'databricks', 'linux']"
Data Analyst,United States,False,Full-time,2023-03-20,100000.0,False,True,0,0,1,0,0,1,"['azure', 'oracle', 'power bi', 'excel', 'sap']"
Senior Data Analyst,New Zealand,False,Contractor,2023-05-09,111175.0,True,False,1,0,0,1,0,0,"['sql', 'snowflake', 'redshift', 'looker', 'tableau']"
Data Analyst,United States,False,Full-time,2023-09-24,92500.0,False,True,0,0,0,0,0,0,"['matlab', 'sas', 'sas', 'spss']"
Senior Data Analyst,United States,False,Full-time,2023-08-29,141241.0,False,False,0,1,0,1,0,0,"['python', 'postgresql', 'redshift', 'tableau', 'git']"
Data Analyst,United States,False,Full-time,2023-10-13,38000.0,False,True,0,1,1,1,1,0,"['r', 'javascript', 'python', 'html', 'plotly', 'ggplot2', 'spss', 'tableau', 'excel']"
Data Analyst,Malaysia,False,Full-time,2023-06-15,111175.0,False,False,0,0,1,1,0,0,"['tableau', 'excel', 'flow']"
Business Analyst,United States,False,Full-time,2023-11-20,110000.0,False,True,1,0,1,0,0,1,"['crystal', 'sql', 'c#', 'power bi', 'excel', 'dax', 'flow']"
Data Analyst,United States,False,Full-time,2023-06-07,57500.0,False,True,0,0,1,0,0,0,['excel']
Data Analyst,United States,False,Full-time,2023-02-12,100700.0,False,False,1,0,1,0,0,0,"['sql', 'azure', 'databricks', 'aws', 'word', 'excel']"
